Date,SP500 Price,SP500 Change %,US10Yeild Price,US10Yeild Change %
"Dec 12, 2010","1,243.91",0.28%,3.332,0.27%
"Dec 05, 2010","1,240.40",1.28%,3.323,10.51%
"Nov 28, 2010","1,224.71",2.97%,3.0069999999999997,4.77%
"Nov 21, 2010","1,189.40",-0.86%,2.87,-0.10%
"Nov 14, 2010","1,199.73",0.04%,2.873,3.01%
"Nov 07, 2010","1,199.21",-2.17%,2.7889999999999997,9.85%
"Oct 31, 2010","1,225.85",3.60%,2.539,-2.46%
"Oct 24, 2010","1,183.26",0.02%,2.603,1.64%
"Oct 17, 2010","1,183.08",0.59%,2.5610000000000004,-0.23%
"Oct 10, 2010","1,176.19",0.95%,2.5669999999999997,7.14%
"Oct 03, 2010","1,165.15",1.65%,2.396,-4.66%
"Sep 26, 2010","1,146.24",-0.21%,2.513,-3.72%
"Sep 19, 2010","1,148.67",2.05%,2.61,-4.71%
"Sep 12, 2010","1,125.59",1.45%,2.739,-2.00%
"Sep 05, 2010","1,109.55",0.46%,2.795,3.44%
"Aug 29, 2010","1,104.51",3.75%,2.702,2.08%
"Aug 22, 2010","1,064.59",-0.66%,2.647,1.26%
"Aug 15, 2010","1,071.69",-0.70%,2.614,-2.43%
"Aug 08, 2010","1,079.25",-3.78%,2.679,-5.07%
"Aug 01, 2010","1,121.64",1.82%,2.822,-2.86%
"Jul 25, 2010","1,101.60",-0.10%,2.905,-3.17%
"Jul 18, 2010","1,102.66",3.55%,3.0,2.56%
"Jul 11, 2010","1,064.88",-1.21%,2.925,-4.29%
"Jul 04, 2010","1,077.96",5.42%,3.056,2.41%
"Jun 27, 2010","1,022.58",-5.03%,2.984,-4.05%
"Jun 20, 2010","1,076.76",-3.65%,3.11,-3.57%
"Jun 13, 2010","1,117.51",2.37%,3.225,-0.25%
"Jun 06, 2010","1,091.60",2.51%,3.233,0.78%
"May 30, 2010","1,064.88",-2.25%,3.208,-2.88%
"May 23, 2010","1,089.41",0.16%,3.303,2.07%
"May 16, 2010","1,087.69",-4.23%,3.236,-6.34%
"May 09, 2010","1,135.68",2.23%,3.455,1.02%
"May 02, 2010","1,110.88",-6.39%,3.42,-6.53%
"Apr 25, 2010","1,186.69",-2.51%,3.659,-4.14%
"Apr 18, 2010","1,217.28",2.11%,3.8169999999999997,1.25%
"Apr 11, 2010","1,192.13",-0.19%,3.77,-2.86%
"Apr 04, 2010","1,194.37",1.38%,3.8810000000000002,-1.57%
"Mar 28, 2010","1,178.10",0.99%,3.943,2.39%
"Mar 21, 2010","1,166.59",0.58%,3.8510000000000004,4.28%
"Mar 14, 2010","1,159.90",0.86%,3.693,-0.27%
"Mar 07, 2010","1,149.99",0.99%,3.7030000000000003,0.57%
"Feb 28, 2010","1,138.70",3.10%,3.682,1.74%
"Feb 21, 2010","1,104.49",-0.42%,3.6189999999999998,-4.16%
"Feb 14, 2010","1,109.17",3.13%,3.7760000000000002,2.19%
"Feb 07, 2010","1,075.51",0.87%,3.695,3.47%
"Jan 31, 2010","1,066.19",-0.72%,3.571,-0.47%
"Jan 24, 2010","1,073.87",-1.64%,3.588,-0.36%
"Jan 17, 2010","1,091.76",-3.90%,3.6010000000000004,-2.04%
"Jan 10, 2010","1,136.03",-0.78%,3.676,-4.17%
"Jan 03, 2010","1,144.98",2.68%,3.8360000000000003,-0.03%
